s__no,state_u_t_,_2016,_2017,_2018__prov__
1,Andhra Pradesh,0,0,0
2,Arunachal Pradesh,9,0,0
3,Assam,0,0,0
4,Bihar,0,0,0
5,Chhattisgarh,12,0,0
6,Goa,0,7,0
7,Gujarat,88,85,106
8,Haryana,0,2,21
9,Himachal Pradesh,0,0,0
10,J & K,0,0,1
